index,date,new_cases
289,2020-10-14,467
290,2020-10-15,570
291,2020-10-16,721
292,2020-10-17,632
293,2020-10-18,593
294,2020-10-19,471
295,2020-10-20,353
296,2020-10-21,453
297,2020-10-22,591
298,2020-10-23,614
299,2020-10-24,697
300,2020-10-25,699
301,2020-10-26,540
302,2020-10-27,424
303,2020-10-28,618
304,2020-10-29,736
305,2020-10-30,770
306,2020-10-31,770
307,2020-11-01,754
308,2020-11-02,667
309,2020-11-03,468
310,2020-11-04,619
311,2020-11-05,938
312,2020-11-06,944
313,2020-11-07,1132
314,2020-11-08,1172
315,2020-11-09,998
316,2020-11-10,899
317,2020-11-11,1173
318,2020-11-12,1555
319,2020-11-13,1587
320,2020-11-14,1685
321,2020-11-15,1694
322,2020-11-16,0
323,2020-11-17,2649
324,2020-11-18,1489
325,2020-11-19,2151
326,2020-11-20,2301
327,2020-11-21,2398
328,2020-11-22,2514
329,2020-11-23,738
330,2020-11-24,3012
331,2020-11-25,1471
